,Mean,Max,Min
2895,55.5,60.0,54.0
2896,55.25,59.0,54.0
2897,55.0,59.0,53.0
2898,54.0,59.0,52.0
2899,53.75,59.0,52.0
2900,53.75,59.0,52.0
2901,53.0,59.0,50.0
2902,52.5,59.0,50.0
2903,52.5,60.0,50.0
2904,52.5,60.0,50.0
2905,52.75,61.0,50.0
2906,54.0,62.0,50.0
2907,55.0,65.0,51.0
2908,55.5,64.0,52.0
2909,57.5,66.0,54.0
2910,58.75,65.0,56.0
2911,59.25,65.0,57.0
2912,59.0,64.0,57.0
2913,58.25,64.0,55.0
2914,57.25,64.0,54.0
2915,55.5,64.0,52.0
2916,54.75,63.0,52.0
2917,54.5,62.0,52.0
2918,53.25,62.0,50.0
2919,53.25,62.0,50.0
2920,52.75,62.0,48.0
2921,51.5,61.0,48.0
2922,51.75,62.0,48.0
2923,51.5,61.0,48.0
2924,50.25,61.0,46.0
2925,50.25,60.0,46.0
2926,50.75,60.0,47.0
2927,51.75,60.0,48.0
2928,54.5,61.0,51.0
2929,56.25,61.0,54.0
2930,58.0,62.0,56.0
2931,59.5,62.0,58.0
2932,60.75,63.0,59.0
2933,62.25,63.0,61.0
2934,62.0,65.0,59.0
2935,62.5,66.0,61.0
2936,61.5,66.0,59.0
2937,61.0,66.0,59.0
2938,58.75,62.0,57.0
2939,57.0,62.0,54.0
2940,55.75,64.0,52.0
2941,55.25,64.0,52.0
2942,54.0,64.0,50.0
2943,52.75,64.0,48.0
2944,51.0,64.0,46.0
2945,51.5,64.0,46.0
